g-force,time,trot,canter
4012,648525,,
3940,648551,,
3990,648577,,
4008,648602,,
3957,648628,,
3924,648652,,
3911,648678,,
3848,648704,,
3945,648729,,
3915,648754,,
3952,648779,,
3921,648809,,
3930,648834,,
4000,648859,,
3985,648908,,
3999,649047,,
3980,649101,,
3965,649127,,
3987,649153,,
3976,649179,,
3918,649203,,
3930,649229,,
3924,649254,,
3924,649280,,
3904,649306,,
3885,649330,,
3975,649356,,
3965,649381,,
3913,649407,,
3924,649437,,
3969,649507,,
3968,649533,,
3951,649558,,
3899,649583,,
3904,649609,,
3904,649633,,
3900,649659,,
3904,649684,,
3947,649710,,
3963,649735,,
3981,649760,,
4004,649786,,
3961,649819,,
3887,649897,,
3958,650003,,
3978,650031,,
3959,650056,,
3964,650081,,
3947,650110,,
3994,650135,,
3997,650161,,
3995,650186,,
3999,650212,,
3985,650236,,
4004,650262,,
4002,650288,,
3962,650313,,
3905,650338,,
3897,650363,,
3913,650389,,
3930,650414,,
3913,650439,,
3867,650465,,
3931,650490,,
3880,650515,,
3909,650541,,
3975,650569,,
3942,650595,,
3954,650620,,
4056,650645,,
4057,650671,,
4036,650696,,
3963,650722,,
3973,650747,,
3986,650772,,
3916,650798,,
3951,650847,,
3942,650984,,
4006,651010,,
4041,651036,,
4013,651062,,
4037,651087,,
4029,651112,,
4016,651138,,
3937,651167,,
3931,651192,,
3918,651217,,
3907,651243,,
3894,651269,,
3915,651293,,
3952,651319,,
3991,651344,,
3972,651369,,
3950,651395,,
3933,651420,,
3941,651446,,
3907,651470,,
3941,651496,,
3968,651522,,
3941,651547,,
3872,651572,,
3847,651597,,
3886,651627,,
3938,651653,,
3962,651677,,
3979,651703,,
3961,651728,,
3933,651754,,
3936,651779,,
3944,651804,,
3895,651853,,
3925,651984,,
3975,652011,,
3934,652038,,
3963,652062,,
3944,652088,,
3910,652113,,
3932,652139,,
3954,652164,,
3957,652189,,
3928,652215,,
3930,652243,,
3890,652269,,
3898,652295,,
3888,652319,,
3895,652345,,
3898,652370,,
3978,652396,,
3993,652421,,
4011,652489,,
3955,652515,,
3901,652540,,
3964,652565,,
3912,652591,,
3935,652616,,
3907,652641,,
3925,652666,,
3954,652692,,
3954,652718,,
3973,652746,,
3978,652772,,
3986,652796,,
4004,652834,,
3944,652964,,
4023,653009,,
3987,653035,,
3951,653062,,
3958,653087,,
3944,653112,,
3931,653137,,
3922,653163,,
3910,653188,,
3949,653213,,
3955,653239,,
3970,653263,,
3993,653289,,
3954,653315,,
3932,653344,,
3992,653369,,
3919,653394,,
3996,653420,,
3937,653445,,
3930,653470,,
3918,653496,,
3923,653529,,
3922,653554,,
3897,653579,,
3946,653604,,
3963,653630,,
3952,653655,,
3955,653680,,
3942,653706,,
3916,653731,,
3928,653756,,
3933,653782,,
3915,653807,,
3921,653860,,
3918,654001,,
3872,654055,,
3889,654082,,
3900,654107,,
3938,654132,,
3941,654157,,
3926,654183,,
3918,654208,,
3916,654233,,
3892,654259,,
3949,654283,,
3962,654309,,
3927,654334,,
3944,654359,,
3948,654385,,
3896,654410,,
3934,654435,,
3939,654465,,
3983,654489,,
3971,654515,,
3921,654539,,
3933,654565,,
3956,654590,,
3873,654615,,
3897,654641,,
3943,654666,,
3982,654691,,
3937,654716,,
3997,654742,,
3959,654767,,
3955,654792,,
3964,654818,,
3923,654905,,
3958,655005,,
4011,655032,,
3982,655060,,
3999,655085,,
3957,655111,,
3940,655136,,
3984,655161,,
3979,655186,,
3975,655211,,
3974,655237,,
3969,655262,,
3996,655287,,
3940,655312,,
4005,655338,,
3934,655363,,
3942,655388,,
3929,655413,,
3918,655438,,
3926,655508,,
3924,655534,,
3937,655785,,
3972,655811,,
3955,655858,,
3910,655989,,
3922,656016,,
3917,656041,,
3960,656067,,
3913,656093,,
3878,656117,,
3892,656143,,
3852,656168,,
3924,656193,,
3941,656219,,
3963,656244,,
3983,656269,,
3954,656294,,
4004,656320,,
3953,656346,,
3982,656370,,
3924,656400,,
3943,656425,,
3896,656450,,
3942,656476,,
3868,656501,,
3911,656527,,
3975,656552,,
3931,656578,,
3857,656604,,
3934,656629,,
3921,656654,,
3807,656679,,
3952,656705,,
4314,656731,,
4362,656756,,
4252,656782,,
4096,656807,,
4006,656857,,
3879,656990,,
3886,657016,,
3950,657042,,
3956,657068,,
3971,657093,,
4171,657119,,
4271,657144,,
4181,657170,,
4220,657196,,
4024,657221,,
4079,657246,,
4022,657271,,
3895,657297,,
3883,657323,,
3842,657348,,
3966,657374,,
3965,657399,,
3973,657425,,
4007,657449,,
3949,657475,,
4040,657508,,
4143,657533,,
4028,657559,,
4053,657585,,
4098,657609,,
3641,657635,,
4041,657660,,
4375,657686,,
4203,657712,,
3856,657737,,
3780,657762,,
3775,657787,,
3744,657813,,
3861,657872,,
3957,657991,,
3841,658018,,
3892,658044,,
3864,658073,,
3861,658099,,
3859,658124,,
3933,658150,,
3856,658176,,
3826,658200,,
3816,658226,,
3795,658251,,
3802,658277,,
3854,658302,,
3819,658328,,
3820,658354,,
3842,658378,,
3837,658404,,
3889,658429,,
3927,658455,,
3826,658481,,
3845,658506,,
3904,658535,,
3897,658561,,
3890,658586,,
3806,658612,,
3840,658637,,
3779,658717,,
3793,658743,,
3808,658768,,
3846,658794,,
3758,658820,,
3866,658868,,
3754,659009,,
3762,659058,,
3797,659085,,
3817,659110,,
3852,659136,,
3807,659162,,
3849,659186,,
3803,659212,,
3863,659241,,
3840,659267,,
3799,659292,,
3811,659317,,
3842,659343,,
3803,659368,,
3765,659394,,
3796,659419,,
